ncm,segment
96200000,MATERIAIS DE CONSTRUCAO
96190000,PERFUM HIGIENE E COSM - ST INTERNA
96162000,PERFUM HIGIENE E COSM
96138000,AUTOPECAS
96091000,MATERIAIS DE CONSTRUCAO
96083000,PRODUTOS DE PAPELARIA
96082000,PRODUTOS DE PAPELARIA
96081000,MATERIAIS DE CONSTRUCAO
96050000,PERFUM HIGIENE E COSM
96039000,MATERIAIS DE CONSTRUCAO
96033000,PERFUM HIGIENE E COSM
96032100,PERFUM HIGIENE E COSM - ST INTERNA
95059000,MATERIAIS DE CONSTRUCAO
95051000,MATERIAIS DE CONSTRUCAO
95045000,ELETRO - ST INTERNA
95030099,MATERIAIS DE CONSTRUCAO
94051099,MATERIAIS DE CONSTRUCAO
94039090,MATERIAIS DE CONSTRUCAO
94037000,MATERIAIS DE CONSTRUCAO
94019090,AUTOPECAS
94012000,AUTOPECAS
91040000,AUTOPECAS
90328911,AUTOPECAS
90322000,AUTOPECAS
90321090,AUTOPECAS
90321010,AUTOPECAS - FIDELIDADE
90318099,MATERIAIS DE CONSTRUCAO
90318040,AUTOPECAS
90303321,AUTOPECAS
90271000,AUTOPECAS
90259090,FERRAMENTAS
90259010,AUTOPECAS
90251990,AUTOPECAS - FIDELIDADE
90251190,AUTOPECAS
90251110,PERFUM HIGIENE E COSM
90191000,ELETRO - ST INTERNA
90189099,MEDIC E OUTROS PROD FARM - NEU
90189050,ELETRO - ST INTERNA
90179090,FERRAMENTAS
90172000,FERRAMENTAS
90141000,AUTOPECAS
90064000,ELETRO - ST INTERNA
87169090,AUTOPECAS
87089990,MATERIAIS DE CONSTRUCAO
87089200,MATERIAIS DE CONSTRUCAO
87082999,AUTOPECAS - FIDELIDADE
87043190,VEIC AUTO NOVO 4 RODAS
87043130,VEIC AUTO NOVO 4 RODAS
87043120,VEIC AUTO NOVO 4 RODAS
87043110,VEIC AUTO NOVO 4 RODAS
87042190,VEIC AUTO NOVO 4 RODAS
87042130,VEIC AUTO NOVO 4 RODAS
87042120,VEIC AUTO NOVO 4 RODAS
87042110,VEIC AUTO NOVO 4 RODAS
87038000,VEIC AUTO NOVO 4 RODAS
87037000,VEIC AUTO NOVO 4 RODAS
87036000,VEIC AUTO NOVO 4 RODAS
87035000,VEIC AUTO NOVO 4 RODAS
87034000,VEIC AUTO NOVO 4 RODAS
87033390,VEIC AUTO NOVO 4 RODAS
87033310,VEIC AUTO NOVO 4 RODAS
87033290,VEIC AUTO NOVO 4 RODAS
87033210,VEIC AUTO NOVO 4 RODAS
87032490,VEIC AUTO NOVO 4 RODAS
87032410,VEIC AUTO NOVO 4 RODAS
87032390,VEIC AUTO NOVO 4 RODAS
87032310,VEIC AUTO NOVO 4 RODAS
87032290,VEIC AUTO NOVO 4 RODAS
87032210,VEIC AUTO NOVO 4 RODAS
87032100,VEIC AUTO NOVO 4 RODAS
87029090,VEIC AUTO NOVO 4 RODAS
87029000,VEIC AUTO NOVO 4 RODAS
87023000,VEIC AUTO NOVO 4 RODAS
87022000,VEIC AUTO NOVO 4 RODAS
87021000,VEIC AUTO NOVO 4 RODAS
85443000,AUTOPECAS
85442000,AUTOPECAS
85437092,ELETRO - ST INTERNA
85423190,ELETRO - ST INTERNA
85423120,ELETRO - ST INTERNA
85423110,ELETRO - ST INTERNA
85414022,ELETRO - ST INTERNA
85414021,ELETRO - ST INTERNA
85414011,ELETRO - ST INTERNA
85395000,LAMPADA REATOR E STARTER
85362000,AUTOPECAS
85361000,AUTOPECAS
85318000,ELETRO - ST INTERNA
85311090,AUTOPECAS - FIDELIDADE
85291090,AUTOPECAS
85272900,AUTOPECAS
85272100,AUTOPECAS - FIDELIDADE
85256010,AUTOPECAS
85235990,ELETRO - ST INTERNA
85235910,ELETRO - ST INTERNA
85235200,ELETRO - ST INTERNA
85235190,ELETRO - ST INTERNA
85235110,ELETRO - ST INTERNA
85219090,AUTOPECAS - FIDELIDADE
85198190,ELETRO - ST INTERNA
85198110,ELETRO
85185000,AUTOPECAS - FIDELIDADE
85177021,ELETRO - ST INTERNA
85176262,ELETRO - ST INTERNA
85176239,ELETRO - ST INTERNA
85176222,ELETRO - ST INTERNA
85171899,ELETRO - ST INTERNA
85171891,ELETRO - ST INTERNA
85171231,ELETRO - ST INTERNA
85171213,AUTOPECAS
85171100,ELETRO - ST INTERNA
85169000,ELETRO - ST INTERNA
85167200,ELETRO
85167100,ELETRO
